     rank                                                                                                 Video    Video views       Likes      Dislikes               Category  published
56     57                                                               Trueno - REAL GANGSTA LOVE (Visualizer)      3,079,234     109,936  Comedy Video            Music Video       2024
57     58                                                                                   Rhapsody of Sadness      3,409,906      18,968  Comedy Video            Music Video       2023
58     59                                                            Dani Ribba - Solo Una Vez (Official Video)        473,979     107,663           263            Music Video       2021
59     60              Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights        514,694       2,742            69                 Sports       2017
60     61                                                  Pedro Capó, Farruko - Calma (Remix - Official Video)  2,964,195,014  13,755,637  Comedy Video            Music Video       2018
61     62                                                                                       Chica Atractiva      2,638,356      33,875  Comedy Video            Music Video       2025
62     63                                                                                     SuperM - With You        730,744     215,534           379            Music Video       2020
63     64                                           Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl      4,196,300      56,077  Comedy Video            Music Video       2023
64     65                                                                 Lil Kee - What You Sayin ft. Lil Baby      2,716,318      83,058  Comedy Video            Music Video       2022
65     66                                                                        Trueno - RAIN III (Visualizer)      2,157,197     129,977  Comedy Video            Music Video       2024
66     67                                 Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives      2,472,045      28,842         1,204                 Sports       2017
67     68                                                                            Totti with a funny penalty      8,353,318       5,613         1,082                 Sports       2007
68     69                                          ROA, De La Rose, Luar La L, Yan Block, Omar Courtz - ETA RMX      9,140,994     179,818  Comedy Video            Music Video       2024
69     70                                                    JoJo Siwa - Guilty Pleasure (Official Music Video)      3,870,451      39,264  Comedy Video            Music Video       2024
70     71                                                                         Rema, Shallipopi - BENIN BOYS      3,795,164     112,684  Comedy Video            Music Video       2024
71     72                                                                       Remember Me (기억해줘요 내 모든 날과 그때를)      5,272,487      20,088  Comedy Video            Music Video       2024
72     73                                                                 Можно я с тобой (can i come with you)      2,218,610      92,278  Comedy Video            Music Video       2024
73     74                                                                  Isadora Pompeo - Ovelhinha (Ao Vivo)      2,934,585      66,830  Comedy Video            Music Video       2024
74     75                                                                      新時代 (ウタ from ONE PIECE FILM RED)      4,321,634     156,105  Comedy Video            Music Video       2022
75     76                                            Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa      3,824,053      36,936  Comedy Video            Music Video       2023
76     77                                                                                           La nevedere      2,960,493      22,343  Comedy Video            Music Video       2022
77     78                                                                   CHAINSAW BLOOD / Vaundy：MUSIC VIDEO      5,767,744      98,070  Comedy Video            Music Video       2022
78     79                                          ILLENIUM, Jon Bellion - Good Things Fall Apart (Lyric Video)      3,474,334     108,128         1,292            Music Video       2019
79     80                                                  Chencho Corleone, Peso Pluma - HUMO (Official Video)      8,915,202     199,564  Comedy Video            Music Video       2024
80     81                                                          we were in love (2024) (... 사랑했잖아... (2024))      3,630,534      22,217  Comedy Video            Music Video       2024
81     82                                        Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)      3,264,026      58,596  Comedy Video            Music Video       2023
82     83               Jay Wheeler, Anuel AA, Hades66 - Pacto (Remix) (Official Video) ft. Bryant Myers, Dei V     16,651,507     517,095  Comedy Video            Music Video       2023
83     84                                              Aslay feat. Harmonize - Follow Me (Official Music Video)      1,397,658      44,137  Comedy Video            Music Video       2022
84     85                                                                       Eden Muñoz - todo me vale madre      1,144,941      30,525  Comedy Video            Music Video       2024
85     86                                                                                               ROSONES      1,143,334      27,036  Comedy Video            Music Video       2024
86     87                                                                   Chlöe - Have Mercy (Official Video)      1,329,956     192,472         2,173            Music Video       2021
87     88                                                  Sofia Castro - Te Juro No Te Miento (Official Video)      2,581,581     135,813  Comedy Video            Music Video       2024
88     89                                               Chema Rivas - LA ROJA (CANCIÓN MUNDIAL) (Video Oficial)        726,826      39,271  Comedy Video            Music Video       2022
89     90                                                Lil Loaded ft. YG - “Gang Unit Remix” (Official Video)      1,736,200     127,492         1,363            Music Video       2020
90     91                                       Ice Spice & Nicki Minaj - Princess Diana (Official Music Video)     45,990,411   1,128,880  Comedy Video            Music Video       2023
91     92                                    Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L     20,502,045     180,683  Comedy Video            Music Video       2023
92     93                                       MAX - Blueberry Eyes (feat. SUGA of BTS) [Official Music Video]      3,266,571     920,096         5,819            Music Video       2020
93     94                                                                                        Teresa & Maria     11,757,639     160,328  Comedy Video            Music Video       2024
94     95                                                           Fedez - Prima di ogni cosa (Official Video)      4,833,788     202,477         7,131            Music Video       2018
95     96                                  SEVDALIZA - ALIBI | Live From Vevo Studios ft. PABLLO VITTAR, YSEULT      5,368,532     223,418  Comedy Video            Music Video       2024
96     97                                                             Luck Ra - ROBAME UN BESO (Official Video)      1,891,707      41,102  Comedy Video            Music Video       2024
97     98                                                          AIELLO - ORA (Official Video - Sanremo 2021)      1,132,390      23,083           887            Music Video       2021
98     99                                                            JADE - Angel Of My Dreams (Official Video)      5,396,154     214,969  Comedy Video            Music Video       2024
99    100                                                                 Sauti Sol - Lil Mama (Official Audio)      1,642,529      27,426  Comedy Video            Music Video       2022
100   101                                                                               Static & Ben El - Bella      3,305,681      10,461           626            Music Video       2021
101   102                                                             Sabe que os mlk é drake, não é bigode não      1,415,045      18,770  Comedy Video            Music Video       2024
102   103                                           Destroy Lonely - if looks could kill (Official Music Video)        830,566      58,361  Comedy Video            Music Video       2023
103   104  偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物偽物        685,189      30,320  Comedy Video            Music Video       2024
104   105                                                                    Oxlade - KU LO SA (Official Video)      6,005,457     134,873  Comedy Video            Music Video       2022
105   106                                                    Rauw Alejandro - Touching The Sky (Official Video)      3,139,901     109,406  Comedy Video            Music Video       2024
106   107                                Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024      6,849,596      59,198  Comedy Video            Music Video       2024
107   108                                                                    Trueno - PULL UP! (Official Video)      1,434,999      86,484  Comedy Video            Music Video       2024
108   109                                                   Fasma, GG - Parlami (Official Video - Sanremo 2021)        757,718      25,704           243            Music Video       2021
109   110                                                        ILLENIUM, Jon Bellion - Good Things Fall Apart     10,358,663     169,009         3,138           Comedy Video       2019
110   111                                                Isadora Pompeo - Tetelestai (Ao Vivo) ft. Carol Tauber      1,205,733      34,861  Comedy Video            Music Video       2024
111   112                                                 ARIETE - MARE DI GUAI (Official Video - Sanremo 2023)      1,130,141      17,689  Comedy Video            Music Video       2023
112   113                                                         Dennis Lloyd - Never Go Back (Official Video)        720,437      26,772           274            Music Video       2019
113   114                                            Insta Vs Reality 😲😍 #travel #unrealplaces #explore #nature     73,165,517   2,967,591  Comedy Video        Travel & Events       2024
114   115                                       Sir Nicholas Winton - BBC Programme "That's Life" aired in 1988     39,407,674      97,009           747              Education       2009
115   116                                                                            Bird learns how life works      4,916,042      74,420           703                 Gaming       2015
116   117                                             Kid at Minecon 2016 asks what we all wish we could answer      1,669,272      23,510           502         People & Blogs       2016
117   118                                                                                         Cazzu - Miedo      2,761,300     289,010         7,719            Music Video       2020
118   119                                                                  Gazo, Tiakola - CARTIER (Visualizer)      1,366,275      34,494  Comedy Video            Music Video       2023
119   120                                                                                                 UWAIE      8,114,376     122,955  Comedy Video            Music Video       2024
120   121                                                           Trueno - REAL GANGSTA LOVE (Official Video)     15,985,735     263,086  Comedy Video            Music Video       2024
121   122                                                                         Jim Carrey THE FUNNIEST video      8,322,488       6,216        11,521                 Comedy       2007
122   123                                                                   Fedez - PRIMA DI OGNI COSA (Teaser)        885,149      29,689         2,992            Music Video       2018
123   124                                                           Lil Nas X, Cardi B - Rodeo (Official Audio)      1,783,881     254,185         8,177            Music Video       2019
124   125                                                                                Conan Gray - The Story        252,272      72,135           195            Music Video       2020
125   126                                                                               Doug Fernandez gives up      2,002,491      19,461           185         People & Blogs       2017
126   127                                                                Ysrael Barajas - GPI 2 (Video Oficial)        983,919      20,719  Comedy Video            Music Video       2024
127   128                                                               Gazo, Tiakola - NOTRE DAME (Visualizer)      1,551,825      27,064  Comedy Video            Music Video       2023
128   129                     Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild      3,510,345      32,449           248       Film & Animation       2017
129   130                                                                 Aslay - Inauma (Official Music Video)      1,606,569      34,829  Comedy Video            Music Video       2023
130   131                                                                  We asked you... What do you Chooze ?      1,018,713       2,413            12       Autos & Vehicles       2017
131   132                                          Drawing the pillar of life🥶🗿#trollface #trollfaceedit #troll    133,062,446   3,173,002  Comedy Video         People & Blogs       2025
132   133                                                                              Gazo - 100K (Visualizer)      1,167,599      32,821  Comedy Video            Music Video       2023
133   134                                                           ALFA - Vai! (Official Video - Sanremo 2024)      5,192,650      49,065  Comedy Video            Music Video       2024
134   135                                                                                            Classy 101     11,170,714     157,703  Comedy Video            Music Video       2023
135   136                                                                               Tenacious D - Explosivo      2,754,518      10,186           204          Entertainment       2006
136   137                                        ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho  2,209,874,850   9,768,545  Comedy Video            Music Video       2019
137   138                                           J.P., NLE Choppa - Bad Bitty (Remix) [Official Music Video]        987,265      46,378  Comedy Video            Music Video       2024
138   139                                                   Tyla Yaweh - I Think I Luv Her (Lyric Video) ft. YG      2,124,429      19,110         1,256            Music Video       2019
139   140                                                                              PUN - BF (feat. URBOYTJ)      1,588,998      39,090  Comedy Video            Music Video       2024
140   141                                                                 Old man is having fun under metallica      2,566,313      25,274           399          Entertainment       2017
141   142                                                                                             DIE 4 YOU      5,766,751      65,566  Comedy Video            Music Video       2023
142   143                             Rocket Blast Off #messingaround #flying #fun #brothers #playing #hangtime    156,690,686   1,868,300  Comedy Video                 Sports       2024
143   144                                                                                                 너라는 별      4,406,467      18,295  Comedy Video            Music Video       2024
144   145                                                   Eladio Carrión - Cuevita (Live Session) | Vevo ctrl      2,246,356      26,765  Comedy Video            Music Video       2023
145   146                                                                                           Say My Name      1,845,505      18,095  Comedy Video            Music Video       2023
146   147                                                                                             ETA (RMX)      1,036,672      33,644  Comedy Video            Music Video       2024
147   148                                          Big Homiie G - Who Got It (Official Video) ft. Finesse2Tymes        865,867      24,156  Comedy Video            Music Video       2022
148   149                                                 GloRilla, Cardi B - Tomorrow 2 (Official Music Video)     31,909,765     638,566  Comedy Video            Music Video       2022
149   150                                                         Asake, Travis Scott - Active (Official Video)      6,232,792     184,120  Comedy Video            Music Video       2024
150   151                                                            Eden Muñoz - Traigo Saldo y Ganas de Rogar      1,077,182      18,109  Comedy Video            Music Video       2024
151   152                                                                                      DAY - Na Sua Mão        311,930      35,208           325            Music Video       2019
152   153                                                                                               Laf 2.0      1,068,698      11,495  Comedy Video            Music Video       2024
153   154                                                             So adorable! 💕 #cute #animal #rocks #baby    105,921,315   1,482,485  Comedy Video          Entertainment       2025
154   155                                                                  Grandma Dottie's Prom Dress Surprise      8,414,676       2,442           103         People & Blogs       2012
155   156                                                                                        Фортеця Бахмут        700,921      20,921  Comedy Video            Music Video       2023
156   157                                                                                 Not a mechanical baby     14,612,153       3,339           156          Entertainment       2011
157   158                                                                                            Prohibidox      7,149,556     109,633  Comedy Video            Music Video       2022
158   159                                                    Mark Tuan - lonely (rock version) [Official Video]        250,551      47,398  Comedy Video            Music Video       2022
159   160                                                  Shaboozey - A Bar Song (Tipsy) [Official Visualizer]      4,941,173     121,986  Comedy Video            Music Video       2024
160   161                                                                       Nikita Kering' - On Yah (Intro)        726,705      32,777  Comedy Video            Music Video       2022
161   162                                                   Coma_Cose - L'ADDIO (Official Video - Sanremo 2023)      3,672,887      41,513  Comedy Video            Music Video       2023
162   163                                                         Nanpa Básico - Cuando Vienes (Official Video)        686,747      24,507  Comedy Video            Music Video       2024
163   164                                                          Doechii - DENIAL IS A RIVER (Official Video)      9,950,373     770,587  Comedy Video            Music Video       2025
164   165                                                   Destroy Lonely - how u feel? (Official Music Video)        845,139      46,444  Comedy Video            Music Video       2023
165   166                                                                    ‎Good Night Good Dream (좋은 밤 좋은 꿈)      1,776,477       9,118  Comedy Video            Music Video       2024
166   167                                                                                don't leave me (거짓말처럼)      1,787,169      13,937  Comedy Video            Music Video       2024
167   168                                                                                     Bi Polar (SAYGI1)        885,313      12,792  Comedy Video            Music Video       2024
168   169                                                                                             Im sorry?      3,670,491      30,180           171         People & Blogs       2017
169   170                                                                                   44 Magnum Las Vegas      2,345,415       7,883           259         People & Blogs       2010
170   171                                                                          Parks and Rec Come back joke      2,482,309      20,964           224                 Comedy       2012
171   172                                                                           ECKO - ICE (Official Video)      2,229,501     149,653        10,701            Music Video       2018
172   173                         Marshmello x Jonas Brothers - Leave Before You Love Me (Official Music Video)        344,124      62,256           559            Music Video       2021
173   174                                                                      David Beckham crazy pass (cross)     17,275,250      32,362           752                 Sports       2008
174   175                                                                                       Можно я с тобой      1,356,781      37,200  Comedy Video            Music Video       2024
175   176                                                                                          No_se_ve.mp3      3,085,869      45,677  Comedy Video            Music Video       2023
176   177                                                                    Silverado 500,000 mile celebration        836,184      11,538           283         People & Blogs       2017
177   178                                                          Morray - Can’t Use Me (Official Music Video)        345,086      26,022           289            Music Video       2021
178   179                                                     FMK - Parte de Mi (Official Video) ft. Lit Killah        303,497      71,457           517            Music Video       2019
179   180                                                                       Me And The Devil (SLOWED + ECO)      1,593,787      18,204  Comedy Video            Music Video       2025
180   181                                                                               Begun, the Duck War has      3,586,169      51,443           300          Entertainment       2017
181   182                                                                                             Meet Will      3,121,597      40,432           313                 Comedy       2018
182   183                                                  Роман Курцын рассказывают всю правду о фильме «Крым»        836,941      23,924        23,364         People & Blogs       2017
183   184                                                                  Helena - Summer Body (Clip Officiel)        921,210      43,854  Comedy Video            Music Video       2024
184   185                                    Maximus by Kerbedanz - the biggest known tourbillon for wristwatch      1,263,651      10,376           126         People & Blogs       2017
185   186                                                               girl in red - Too Much (Official Video)        268,038      31,023  Comedy Video            Music Video       2024
186   187                                              Artifact new game announcement from Valve crowd reaction      1,301,165      17,084         1,900            Music Video       2017
187   188                                                                  Rels B - ORGULLO (Videoclip Oficial)        340,606      72,349           815            Music Video       2019
188   189                                 Brenda Lee - Rockin' Around The Christmas Tree (Official Music Video)      2,605,084      55,604  Comedy Video            Music Video       2023
189   190                                                                                              Mephisto        832,845      21,237  Comedy Video            Music Video       2023
190   191                                                                                         ¡Que Te Pasa!      1,668,686      24,060  Comedy Video            Music Video       2024
191   192                                                                                            Clumsy Dog      3,432,791      24,140           254                 Gaming       2017
192   193                     A disabled duckling helps his cat friend 🐥 #DuckRescue #CuteAnimals #AnimalRescue    114,441,704   3,749,872  Comedy Video          Entertainment       2024
193   194                                                             tommy wiseau can't understand millennials      3,320,857      28,326           198                 Comedy       2017
194   195                         Tainy, J Balvin - Agua (Music From "Sponge On The Run" Movie/Official Lyrics)      1,936,929     186,235         6,564            Music Video       2020
195   196                                                                                   Yo Vengo De La Nada        592,930      13,705  Comedy Video            Music Video       2024
196   197                                                                                            Tiryakinim      6,332,540      64,248  Comedy Video            Music Video       2024
197   198                                                                                           El Connecto      3,583,270      41,735           485         People & Blogs       2018
198   199                                                                              ORIGAMI ALL'ALBA - CLARA      2,030,824      26,233  Comedy Video            Music Video       2023
199   200                                                                                Fo fo fo fo fristajlo!      2,894,700       6,108           152                 Comedy       2007
200   201                                                                                "Drake" on the Tube...      2,683,856       7,414           457                 Comedy       2012
201   202                                                                                            Minimum ça        680,629      11,809  Comedy Video            Music Video       2024
202   203                                                                                  Flying nut high five      7,852,043      62,744           748         People & Blogs       2014
203   204                                                                   Tems - Crazy Tings (Official Video)      2,496,817      91,980           979            Music Video       2021
204   205                                     Raisa, Ahmad Dhani - Biar Menjadi Kenangan (Official Lyric Video)      1,891,769      33,390  Comedy Video            Music Video       2023
205   206                                                                                            Tiryakinim      8,170,818      45,890  Comedy Video            Music Video       2024
206   207                                                                      😂😂😂😂😂😂 I challenge you to a duel     33,774,303   2,210,308  Comedy Video            Music Video       2024
207   208                                                                                                Hitana      1,614,632       9,651  Comedy Video            Music Video       2023
208   209                                                        My dad flew into town to surprise his parents.        888,893       8,190           113         People & Blogs       2016
209   210                                     DaBaby - ROCKSTAR (Live From The BET Awards/2020) ft. Roddy Ricch      1,937,851     212,963         3,907            Music Video       2020
210   211                                                                Best Heavyweight Knockouts of All Time      5,250,458       5,891           509                 Sports       2007
211   212                                                                                        Sobran Motivos      1,574,149      13,731  Comedy Video            Music Video       2024
212   213                             Roblox Hack (NEW) - How to Get Free Robux - Robux Glitch (Get Free Items)        546,583      14,662           454                 Gaming       2017
213   214                                                                      Kep1er 케플러 | 'I do! Do you?' M/V      6,448,957     284,632  Comedy Video            Music Video       2023
214   215                                    Beéle, Myke Towers, Feid - Barranquilla Bajo Cero (Official Video)      8,254,128     198,513  Comedy Video            Music Video       2022
215   216                                                                              Bıraktığın Gibi Burdayım      1,291,926      10,366  Comedy Video            Music Video       2024
216   217                                                                            My Diablo 3 Inferno Tactic      2,362,860      22,368           787                 Gaming       2012
217   218                                          Wedding first dance w/ surprise Jack Johnson Michael Jackson     16,485,606      15,813         1,360                 Comedy       2007
218   219                                                                                         Chu,Tayousei.        739,527      17,094  Comedy Video            Music Video       2022
219   220                                                         Starcraft 2 Gameplay footage and unit preview      7,529,927       6,075           772          Entertainment       2007
220   221                                              Massimo Pericolo - Non Parlarmi (Outro) (Official Video)        586,388      33,599  Comedy Video            Music Video       2023
221   222                                                                    Isadora Pompeo - Aliança (Ao Vivo)      1,535,732      30,924  Comedy Video            Music Video       2024
222   223                                                                              Raisa - Bertahan / Pergi        922,070      30,510  Comedy Video            Music Video       2022
223   224                                                      WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo)      4,281,153     119,578  Comedy Video            Music Video       2024
224   225                                          Dog reacts to return of Nathan after two year Mormon mission      6,040,429       5,972           194         Pets & Animals       2015
225   226                                                                 Dacă n-ai bani (feat. Beach, Please!)      1,015,509       9,689  Comedy Video            Music Video       2022
226   227                                                                 Aslay - Mozzah (Official Music Video)        513,530      21,071  Comedy Video            Music Video       2022
227   228                                                 Jagwar Twin - Bad Feeling (Oompa Loompa) (Visualizer)      3,050,307      91,826  Comedy Video            Music Video       2023
228   229                                                                                         14 de Febrero      3,119,940     328,395  Comedy Video            Music Video       2023
229   230                                              Panchlait - Teaser 2 | Prem Modi | Funtime Entertainment        885,706       5,835           217       Film & Animation       2017
230   231                                                     Mila Kunis Tells Off A Reporter In Fluent Russian      3,324,459      23,701           834          Entertainment       2012
231   232                                  When You play dodgeball with a Softball player. licensing@rumble.com      2,134,991      12,128           299                 Comedy       2017
232   233                                                                                Super platano brothers      1,595,388      14,720           344                 Comedy       2017
233   234                                                                                               Amapola        952,452      18,255  Comedy Video            Music Video       2024
234   235                                                         Negramaro - Ricominciamo tutto (Sanremo 2024)      1,095,011      14,122  Comedy Video            Music Video       2024
235   236                                                                             Brother just sent me this        622,782       8,883           348          Entertainment       2017
236   237                                                          Chiara Oliver - 3 de febrero (video oficial)        505,626      35,212  Comedy Video            Music Video       2024
